FSC	SSC	FL1	FL3	FL4
0	1003	2013	2311	0
219	1250	1597	2300	0
581	1687	1774	891	0
891	1535	1194	1805	0
0	1921	1732	2616	0
282	1047	0	2273	0
0	1176	1590	2211	0
0	1604	1184	2540	0
464	1181	0	0	0
66	1325	1320	2350	0
415	1289	1811	1369	0
641	1102	0	2448	0
31	1596	0	2626	0
109	1239	1726	2495	0
0	1106	1743	0	0
1088	1009	1529	2514	0
119	1540	1773	2590	0
0	1342	1744	2081	0
772	1909	1216	1821	0
16	1080	1321	2324	0
685	1061	1366	2480	0
787	1455	2137	2346	0
108	1261	0	2503	0
0	1125	1762	1597	0
0	1145	1871	2575	0
0	1329	1892	2159	0
237	1419	252	2519	0
374	1077	0	2468	0
499	1622	0	2427	0
0	1513	0	2407	0
285	1248	1641	2262	0
0	1543	0	2150	0
784	1748	0	2562	0
793	1555	1936	2305	0
1284	1247	0	2281	0
121	1423	1955	2263	0
576	976	1020	2159	0
0	1090	0	2166	0
17	1372	2118	2244	0
0	1266	883	2145	0
1520	2349	2032	2003	0
1804	2021	0	2462	0
903	1380	0	2379	0
697	1678	205	2325	0
0	1074	2789	2473	0
279	1249	1656	2158	0
884	1251	0	2498	0
0	1585	0	2580	0
639	1013	1574	2434	0
1839	2050	1968	2580	0
784	1218	798	2559	0
404	1399	0	2457	0
0	1580	2135	2135	0
0	1732	1615	2152	0
1103	1470	1842	2205	0
84	1367	1885	2451	0
33	1324	2416	2271	0
1033	1637	1726	1627	0
579	1136	1689	2368	0
875	1627	1787	2305	0
2294	1875	1908	2072	0
358	1119	1665	1903	0
1359	1038	2669	2318	0
1949	1168	2748	2413	0
431	1139	1838	2470	0
0	1339	0	2389	0
127	1244	0	2473	0
599	1419	208	2440	0
1232	1586	3126	2636	0
0	1056	1940	2604	0
484	1573	1699	2428	0
0	1967	1648	0	0
482	1417	288	2313	0
450	1049	1759	2225	0
0	1253	1882	2456	0
0	1325	0	2481	0
894	1604	1760	2399	0
496	1419	926	2645	0
3199	2471	1723	2244	0
0	1338	1586	2557	0
669	1019	1609	2349	0
421	1181	1517	2491	0
1050	1113	1906	2354	0
503	1290	1872	2361	0
0	1437	1173	2341	0
678	1804	1925	2265	0
0	1265	0	2547	0
0	1078	0	2199	0
0	1733	1744	2413	0
1283	1633	189	2221	0
0	1692	1619	1621	0
457	1108	1865	2170	0
993	1540	0	2342	0
956	1013	2	2333	0
751	1389	0	2469	0
0	1280	0	2311	0
0	1292	1818	2440	0
659	1165	1521	0	0
661	1433	1532	2439	0
1913	2285	0	0	0
153	1202	0	1766	0
75	1333	809	2368	0
0	1225	1624	2468	0
653	1102	1570	2053	0
637	963	1612	2184	0
0	1946	0	2567	0
408	1465	0	2346	0
201	1205	2008	560	0
0	1678	1900	2457	0
287	1241	1999	0	0
453	1553	0	2240	0
1173	1821	1679	2347	0
84	1182	0	1160	0
821	1035	1891	2081	0
174	1381	0	2361	0
0	1436	0	0	0
1186	1090	2678	2024	0
1785	1551	1959	2262	0
573	1692	1798	2610	0
985	1628	1670	2228	0
438	1136	1905	2233	0
0	1508	0	2322	0
165	1142	0	1992	0
445	1288	0	2457	0
233	1126	312	2327	0
1331	1573	0	2268	0
1041	1685	1805	2280	0
409	1337	3025	2677	0
331	1345	1046	2457	0
0	1206	1781	2636	0
945	1375	859	2319	0
581	1322	1774	2613	0
458	1129	2791	2690	0
242	1317	1785	2097	0
1269	1293	3397	2596	0
763	1166	1952	2386	0
0	1224	1886	0	0
1384	1970	0	2465	0
39	1420	1503	2274	0
0	1137	1876	2153	0
681	1086	1860	2425	0
673	1220	1847	2374	0
250	1418	1582	2056	0
1890	1577	1994	2445	0
555	1100	1790	2517	0
210	1152	1689	321	0
0	1092	1797	1921	0
0	1293	1174	2529	0
585	1206	692	2321	0
56	1081	1860	2277	0
0	1227	0	2398	0
963	1685	2069	2451	0
0	1296	1727	2007	0
0	1434	1305	2163	0
1102	1811	369	2135	0
0	1256	0	1176	0
525	955	1681	2365	0
0	1265	1431	2428	0
0	1293	1823	2681	0
2094	1197	1887	2417	0
0	1123	845	0	0
0	1207	1640	2292	0
425	1279	1841	2302	0
937	1249	1809	2553	0
695	1196	1853	2334	0
1779	2081	586	2166	0
545	1929	1789	1264	0
0	1076	0	2451	0
0	1143	1917	2446	0
0	1497	0	2315	0
242	1504	1770	2446	0
122	1164	1479	2380	0
0	1385	0	2636	0
561	1377	0	2301	0
92	1019	1763	2398	0
1313	1717	1532	2239	0
0	1241	1679	2187	0
479	2484	1816	2144	0
463	1478	1469	2493	0
793	1445	1773	2535	0
403	1117	1323	0	0
0	1277	0	2610	0
0	1166	0	2308	0
0	1637	1789	2355	0
692	1505	0	1956	0
494	1586	1805	2495	0
0	1082	2052	2233	0
0	1230	1146	2221	0
0	1489	0	2553	0
0	1287	1697	2489	0
393	1424	2006	1317	0
0	1269	1682	2147	0
521	1151	2073	2382	0
0	1259	0	2323	0
0	1458	0	2241	0
0	1501	1731	2416	0
0	1106	299	2304	0
194	1579	1112	2451	0
478	1487	0	2307	0
1181	1515	1884	154	0
0	1353	0	2125	0
0	1319	2652	2825	0
419	1130	1686	0	0
0	1215	1848	0	0
1057	1408	1806	2144	0
0	1167	1390	2554	0
1187	1864	2038	2472	0
1127	1494	1642	2456	0
968	1736	0	2148	0
906	1629	1696	2343	0
1007	1734	1709	2606	0
0	1734	1160	2522	0
518	1038	552	2361	0
399	1637	0	2449	0
0	1004	1973	2516	0
224	1239	0	50	0
978	1282	158	1409	0
1033	1461	1883	0	0
331	961	1457	867	0
109	1247	1619	2378	0
0	996	737	2667	0
966	1743	2956	724	0
0	1102	1832	2407	0
0	1396	1236	2504	0
598	1255	0	1526	0
0	997	0	2044	0
1	2679	1590	2301	0
684	1070	1590	2385	0
2	1113	1884	2421	0
0	1100	1610	2094	0
484	1316	0	2309	0
425	1135	1672	2373	0
180	1133	1929	2321	0
500	1390	1701	2446	0
797	1743	1618	276	0
977	1517	216	959	0
1420	1596	0	1550	0
432	1113	1829	2336	0
3	1179	1323	2358	0
1229	1348	2086	2425	0
157	1334	1646	2238	0
677	1121	0	2102	0
1900	2234	2870	2581	0
204	1343	0	2549	0
338	1075	471	2467	0
136	1148	24	2115	0
297	1491	0	2485	0
735	1224	1538	2510	0
325	1405	574	2031	0
1619	1845	2116	2168	0
727	1482	1870	0	0
0	1387	1104	0	0
823	1001	0	2401	0
660	1599	64	2252	0
513	1380	1466	2564	0
572	1677	1964	1891	0
0	1499	174	2533	0
0	1022	0	2369	0
257	1010	1788	119	0
1081	997	1620	2663	0
850	1505	1864	2542	0
531	953	1852	0	0
733	1704	2725	2543	0
1371	1527	1608	2522	0
0	1389	1153	2136	0
878	1283	1959	2202	0
1128	1049	1833	2511	0
1080	1121	0	0	0
368	1409	1804	2385	0
631	1018	0	2613	0
0	1607	1227	2287	0
277	1092	1606	4	0
801	1322	423	2552	0
178	992	1992	2463	0
320	1368	38	2390	0
213	1466	0	2369	0
632	1612	1930	2417	0
309	1106	1100	2453	0
187	1019	1656	2321	0
0	1644	1708	2314	0
0	1483	1510	2374	0
0	1218	1929	2631	0
883	1250	1344	1629	0
273	1320	1430	2396	0
0	1079	1767	11	0
889	1716	2397	2276	0
142	1129	0	2157	0
1533	1839	3113	2538	0
0	1464	1697	2446	0
709	1453	0	2497	0
1050	1191	1804	2127	0
91	1281	1752	2403	0
552	1248	1889	2340	0
687	1229	2048	2007	0
1010	1059	1977	2537	0
0	945	1746	0	0
571	1162	1654	2379	0
529	1379	2897	2577	0
205	1037	0	2554	0
1160	1586	1900	2421	0
0	1167	1645	2387	0
79	1409	0	2420	0
800	2014	1324	2460	0
0	1608	0	477	0
358	1288	1593	2615	0
1560	1037	1788	2456	0
645	1318	1607	2646	0
703	1225	1656	2395	0
1675	1599	1997	2019	0
0	1166	0	2183	0
338	1420	0	1695	0
0	1380	0	0	0
891	1685	2025	2671	0
0	1028	2038	2546	0
1017	1997	0	2445	0
1990	2337	2136	2704	0
451	1059	0	0	0
0	2065	2558	2509	0
321	1312	1341	2147	0
486	1312	1927	2313	0
0	1832	1358	2453	0
0	1579	1642	232	0
0	1461	0	2312	0
0	1263	0	2158	0
979	1766	1518	0	0
965	1482	1883	2521	0
0	1006	2030	2393	0
0	1077	1748	2292	0
1192	1175	2907	2165	0
179	1423	1298	2134	0
507	1368	1665	2279	0
1285	1212	1786	2637	0
0	1542	1911	0	0
0	1699	0	2551	0
673	1369	1736	2438	0
565	1490	1681	2298	0
635	1533	0	2450	0
988	1054	0	2571	0
2108	2142	0	2182	0
1218	2133	2174	2639	0
790	1300	1883	2102	0
269	1049	485	2539	0
106	1213	0	2276	0
780	1305	1250	2216	0
593	1439	1230	1196	0
1133	1790	0	1627	0
0	1112	0	2505	0
359	1642	1839	2540	0
1325	1747	0	2154	0
815	1391	1928	2217	0
863	1495	1284	2436	0
0	1825	925	2111	0
0	1071	2634	2172	0
1140	1753	1799	2440	0
204	1335	1737	2307	0
0	1095	1578	2557	0
814	1295	1580	2133	0
761	1320	6	2265	0
704	1233	0	0	0
801	1162	1990	2245	0
98	1019	1815	2383	0
629	989	1801	2179	0
0	1113	0	2402	0
289	1160	0	385	0
1718	1508	0	2112	0
551	1339	1782	2550	0
2131	2061	1991	0	0
0	1613	0	2603	0
862	1361	1244	2174	0
0	993	1574	490	0
738	1751	1327	2309	0
142	1151	449	2373	0
1002	1433	1896	2252	0
120	1098	1780	2270	0
1879	2105	0	2544	0
717	1471	1968	2237	0
838	1448	1635	2499	0
837	1124	1442	2048	0
1218	1314	1879	2421	0
0	1779	0	2461	0
816	1409	2427	2267	0
795	1448	0	2460	0
451	1805	0	2547	0
0	1126	0	2570	0
0	1040	1399	2444	0
0	1351	1795	2087	0
925	1412	1091	2245	0
1053	1704	2992	2490	0
871	1699	2091	2545	0
1312	1245	1767	2340	0
0	1642	1885	2466	0
507	1387	1757	0	0
