FSC	SSC	FL1	FL3	FL4
0	2334	1723	2468	0
389	1459	1318	2298	0
0	1158	2020	2100	0
0	1220	0	2400	0
955	1190	20	2372	0
2804	2241	1950	1300	0
268	1381	0	2154	0
0	1228	0	2485	0
494	1366	2030	2268	0
173	1408	1646	2203	0
1417	1486	2001	0	0
1155	2174	1191	2223	0
73	970	1677	2416	0
126	1048	0	2067	0
675	1377	1337	1975	0
1373	1146	2411	2575	0
489	1461	0	2413	0
985	1425	1532	2259	0
106	1236	1543	2142	0
452	1336	2045	2690	0
257	1637	2012	2242	0
484	1175	1048	2421	0
1968	1895	0	2236	0
10	2192	1967	2493	0
2108	2190	1853	2273	0
1808	1952	1978	2421	0
551	1508	122	2277	0
1493	1661	2475	2106	0
433	1089	1902	2395	0
794	1189	1837	2189	0
941	1097	1497	2391	0
0	1210	0	2260	0
0	1330	2031	957	0
0	1052	0	2475	0
0	1368	1541	2283	0
379	980	1642	1568	0
106	1145	0	1823	0
211	1061	1720	2468	0
39	1359	1973	2462	0
753	1423	1564	1657	0
601	1352	1709	141	0
0	1073	264	2397	0
1565	1916	0	2146	0
857	1171	1880	2331	0
885	1062	1409	2279	0
0	1604	1825	2510	0
2092	2193	2862	2366	0
2197	1467	1862	2533	0
322	1511	1697	1941	0
1036	1625	1927	2459	0
0	2090	2630	2286	0
686	1401	1830	2339	0
2155	1573	2067	2575	0
695	1070	1402	1819	0
0	1025	1806	2421	0
1067	1576	1022	2229	0
1048	2238	3151	2746	0
2403	1136	1887	2230	0
0	1411	1999	1713	0
571	1113	0	2301	0
0	1528	2205	2353	0
1039	1483	31	2263	0
1803	1871	2280	2789	0
220	1069	1742	2197	0
1039	1431	1824	2413	0
2607	1788	3178	2206	0
41	1312	1278	1879	0
0	1149	1750	2463	0
827	1389	0	2384	0
1130	1631	1835	2209	0
1443	1066	2421	2409	0
598	1289	1615	2161	0
644	1603	632	241	0
963	1512	1884	635	0
2001	2010	583	2254	0
351	1015	1557	2310	0
0	2552	0	2220	0
0	1186	0	1717	0
200	1431	838	782	0
779	1453	1479	2229	0
2056	1698	1841	2588	0
872	1226	0	1323	0
0	1000	1879	2355	0
0	1280	0	2080	0
727	1790	2871	2229	0
0	1383	2107	2450	0
841	1420	17	2703	0
10	1369	2119	0	0
781	1585	1549	35	0
0	1285	1897	1985	0
808	1496	2033	2654	0
87	1361	1968	2234	0
2029	2198	2906	1873	0
2025	1876	2925	2499	0
354	1557	1985	2425	0
1091	1118	1732	2313	0
807	2404	1758	2449	0
0	1387	1912	2418	0
527	1284	65	2340	0
1108	1112	1850	2168	0
1935	2073	143	2385	0
232	1431	2472	1849	0
1405	1817	2402	2526	0
1939	1855	603	2567	0
844	1336	671	2222	0
684	1660	0	2382	0
362	1295	1694	2349	0
2127	2195	2347	2326	0
1051	1866	0	2331	0
346	1398	1478	2477	0
1209	1232	1557	2266	0
1017	1465	1781	2113	0
1968	2081	1736	2257	0
197	1623	0	2154	0
1627	1644	2602	2421	0
1070	1599	1668	2310	0
22	1098	1765	2518	0
1101	1456	451	1485	0
1206	1466	2414	2556	0
0	1179	0	2283	0
0	1139	526	2549	0
1904	1782	2792	2234	0
789	1766	0	2414	0
2136	2167	2951	2589	0
0	1241	0	2072	0
0	1204	1681	2332	0
0	1331	0	2397	0
677	1033	2511	2405	0
0	1200	1491	2442	0
861	1321	0	0	0
0	1112	1826	2660	0
690	1259	1952	2638	0
1359	1707	2706	2038	0
1085	1729	1963	2562	0
516	1267	1761	1419	0
671	1259	1125	2225	0
2865	2575	1940	2345	0
293	1383	1876	2603	0
1896	2024	1851	2131	0
0	1130	1424	337	0
273	1856	1455	2409	0
0	1415	1262	0	0
865	1681	1803	2451	0
918	1732	1288	2340	0
337	1131	1772	2207	0
0	1023	0	1979	0
0	1730	0	2257	0
849	1513	2058	0	0
896	1061	1469	2556	0
1117	1551	86	2438	0
827	1172	1634	2448	0
0	1407	0	2171	0
0	1515	1697	1746	0
1729	2305	1900	2299	0
85	1324	1725	2319	0
1561	1735	1845	1329	0
0	1139	1874	2325	0
289	1192	1107	2345	0
947	1209	2386	2013	0
492	1325	0	2447	0
888	1161	0	0	0
2152	2609	1823	2223	0
81	1242	0	2201	0
1804	2015	2714	2266	0
621	2422	518	2479	0
0	1215	1025	2257	0
0	1099	1207	2162	0
637	1186	1420	2669	0
1013	1641	1014	2467	0
849	1214	1545	2435	0
0	1286	1772	2473	0
347	1251	1521	2337	0
0	1652	1804	0	0
876	1470	0	2329	0
426	1161	1808	1730	0
509	1469	1672	2526	0
985	1522	1740	2537	0
0	1064	228	2451	0
1080	1100	0	2271	0
0	1051	1446	2392	0
459	1207	1549	2348	0
0	1223	1632	2442	0
646	1160	742	2362	0
327	1307	1549	2128	0
739	1307	2097	2412	0
960	1386	2002	2322	0
0	1257	1811	2265	0
641	1588	1671	2382	0
708	1492	1983	2727	0
967	1759	0	2476	0
730	1459	1597	0	0
2070	2048	2853	2399	0
556	1004	1958	2067	0
1224	1174	1988	2434	0
0	1444	1943	2489	0
2075	2165	2083	1885	0
2136	2220	2989	2684	0
0	983	0	2291	0
667	1158	0	2222	0
741	1489	1994	2223	0
0	1172	1870	2479	0
2168	2225	3112	2628	0
722	1089	0	2709	0
536	1190	1993	2404	0
1085	981	1941	2283	0
1937	2058	1857	2461	0
1420	1625	2336	0	0
1819	1797	1674	2298	0
0	1026	31	2372	0
1624	1848	2675	2031	0
871	1501	482	2469	0
0	1409	0	2453	0
0	1267	1792	2238	0
0	1667	1150	2338	0
874	1540	1749	1867	0
0	1373	216	2451	0
542	1327	2129	2346	0
510	1363	1924	755	0
669	1241	1400	2480	0
789	1622	0	2447	0
75	1704	0	2617	0
651	1071	0	0	0
995	1283	1515	2540	0
1319	1919	89	2264	0
955	1294	0	2499	0
833	984	1951	2233	0
387	1251	1719	2213	0
1899	1953	1740	2434	0
2152	2240	0	2451	0
1510	1643	2433	2600	0
1281	1295	1769	0	0
0	1141	1653	2088	0
166	1112	1796	2222	0
1827	1315	2361	2379	0
0	2089	1935	2121	0
2114	1143	2785	2542	0
0	1072	0	451	0
0	1205	0	2512	0
83	1194	1688	2032	0
19	1263	0	0	0
2571	2139	2000	2203	0
1045	1232	1852	2411	0
1619	1880	2737	2377	0
0	1086	0	2469	0
665	1495	1796	2614	0
0	1391	1974	2499	0
759	1581	1927	0	0
0	948	2501	2511	0
2418	2452	3055	2809	0
0	1577	2008	2140	0
383	1035	0	2312	0
185	1669	0	2377	0
1835	2507	0	484	0
371	1053	1171	0	0
672	1153	1834	2383	0
2435	1395	2039	2361	0
10	1229	108	0	0
1979	1971	0	2228	0
734	1440	0	2363	0
187	971	1909	2519	0
1068	1004	1347	2461	0
0	1286	1125	2247	0
408	1631	1846	2340	0
0	1310	0	1743	0
233	965	0	2419	0
0	1176	0	256	0
736	1605	2022	2254	0
688	1431	0	1572	0
1787	2045	2142	2695	0
587	1572	1777	0	0
893	1207	962	2327	0
1289	1743	0	2277	0
0	956	1729	1761	0
403	2029	1767	2609	0
819	1185	1808	2638	0
1339	1487	0	2707	0
1246	1757	1630	2427	0
0	1910	886	2584	0
505	1036	0	111	0
0	1349	0	2459	0
0	1080	0	2300	0
434	988	2167	2451	0
1356	1870	1719	2739	0
407	1449	2037	2441	0
0	1221	1837	2559	0
0	1105	1241	2547	0
397	1142	1408	0	0
557	1533	1554	2319	0
2180	2156	1696	2521	0
953	1719	1687	0	0
0	1040	2324	2411	0
270	1216	1786	2458	0
171	1089	844	2283	0
1437	1402	0	2346	0
309	1661	1212	2378	0
2021	2092	1807	1852	0
219	1491	282	778	0
1016	1349	2046	2500	0
2875	3737	1365	2393	0
0	1298	0	2275	0
0	986	0	1975	0
502	1091	1743	2412	0
427	1571	0	1248	0
859	1615	70	2463	0
2252	2788	815	2375	0
0	1137	1585	2459	0
2427	2059	2232	2505	0
1144	1490	1233	2691	0
1130	1407	0	2272	0
496	1531	1839	2433	0
381	1416	1655	2215	0
994	1359	1660	2517	0
1032	1417	672	2698	0
1301	1623	1712	2441	0
788	1299	1309	2388	0
1044	1579	0	2430	0
1567	1457	1991	2516	0
0	1165	1994	2609	0
32	1345	1890	2481	0
0	1549	1792	2544	0
0	1495	1951	2439	0
1339	1577	2474	0	0
407	1538	774	2318	0
819	984	1776	2258	0
2133	2174	3033	2540	0
2129	1864	1929	2053	0
386	966	1892	2304	0
609	1296	1878	2329	0
436	1501	1368	0	0
0	1478	0	2453	0
489	948	1760	2136	0
2409	2331	1586	2188	0
1069	1322	1906	348	0
0	1626	379	10	0
1842	1827	2845	2800	0
2073	2233	0	2665	0
0	1109	1990	2332	0
534	1829	621	1635	0
323	1545	0	0	0
1026	1747	0	1241	0
1357	1821	1767	2399	0
345	1608	1294	2478	0
409	1231	0	2592	0
158	1581	0	2575	0
632	1035	1792	2431	0
839	1619	1611	2295	0
738	1222	2085	0	0
81	1045	0	236	0
515	1376	61	2283	0
1250	1487	2623	2733	0
964	1392	1881	2714	0
1953	2054	2154	2767	0
1659	1515	1825	2383	0
541	1684	1863	586	0
505	1133	54	2437	0
0	1620	1858	2384	0
897	1654	0	0	0
0	1297	1162	2437	0
2134	1201	2198	2699	0
148	1295	1896	2391	0
0	1365	1382	2086	0
975	1130	1730	2655	0
2545	2142	3030	2339	0
2027	2211	0	2324	0
0	1165	1728	2656	0
918	1248	1705	2545	0
2085	2141	2022	1690	0
57	1562	0	2235	0
680	1587	0	2535	0
343	1332	1716	2187	0
732	1294	0	2222	0
1217	2249	0	2459	0
644	1267	2066	2543	0
965	1529	1991	2651	0
678	1020	942	2557	0
844	1983	15	2327	0
148	1062	0	2647	0
2831	2270	3463	2770	0
587	1515	0	2367	0
2197	2229	3005	2282	0
1961	1952	1569	2195	0
619	1981	1778	2069	0
501	1305	1531	2454	0
1540	1793	2589	2283	0
710	1431	1361	2347	0
0	1478	1389	1864	0
0	2106	308	2389	0
471	2067	1619	2597	0
276	1100	1828	996	0
1389	1769	1773	2384	0
718	1703	1867	0	0
14	2363	2055	2144	0
282	1308	0	2366	0
1012	1135	1887	2338	0
897	1855	1741	1827	0
254	1461	1682	2120	0
2014	2070	1902	2270	0
978	1625	1886	2414	0
345	977	1836	2642	0
1119	1541	2208	2395	0
444	2103	1756	2399	0
248	1017	0	2687	0
250	1144	0	2317	0
770	1033	1896	2480	0
966	1492	1923	0	0
978	1480	0	363	0
445	1389	2352	2350	0
2022	1951	2866	2218	0
1963	1985	1912	2589	0
0	1263	684	0	0
2297	2069	3197	2285	0
2303	2144	1868	2466	0
133	954	1850	2709	0
506	1209	867	2225	0
610	1633	978	2527	0
102	1668	0	2534	0
670	1243	128	2538	0
664	1494	1986	2455	0
431	1160	1721	1929	0
1947	1897	2764	2335	0
0	1571	1665	2323	0
575	1117	0	2358	0
2680	2387	1281	2034	0
1972	2083	1864	1655	0
8	1180	0	2027	0
587	1314	1346	2596	0
961	1133	1986	2350	0
1132	1168	1786	2496	0
1084	1651	1913	2724	0
118	1470	1610	2305	0
0	1099	1991	2605	0
1000	1817	0	2426	0
1382	1011	2340	1984	0
2155	2204	1770	2544	0
1080	1243	1920	2313	0
312	973	0	2257	0
0	1288	1712	2463	0
1253	1505	1771	2590	0
0	1323	0	2050	0
669	1432	2023	2521	0
909	1146	1624	2327	0
0	2109	1601	2373	0
829	1399	1658	2377	0
0	1388	1242	2671	0
403	1605	1597	2332	0
304	1359	0	2482	0
527	1059	2077	2479	0
572	1365	129	2227	0
956	1583	1749	2537	0
0	1771	0	2392	0
0	1147	1793	2063	0
0	1275	1927	0	0
1763	1585	1022	2541	0
795	1750	0	2407	0
46	1065	1691	2490	0
637	1154	1644	2594	0
8	1130	1609	2587	0
51	1452	1855	2302	0
321	1179	497	2555	0
539	1426	0	1781	0
0	1121	1720	2243	0
1921	1956	1775	2625	0
43	2069	1228	2364	0
0	1267	1866	2388	0
2010	1487	2955	2705	0
485	1480	2408	2276	0
1201	1242	1618	2562	0
243	1641	1926	2436	0
817	1403	1761	2538	0
0	1281	0	0	0
442	1183	1609	2497	0
765	1292	1896	2039	0
2093	2226	2559	2140	0
0	1195	0	2199	0
977	1229	2019	2646	0
502	1349	1797	2347	0
779	1379	1692	2171	0
0	1084	1487	1887	0
3	1287	1558	0	0
712	1309	1774	2473	0
1993	2101	1853	2361	0
0	1151	0	2372	0
434	1301	0	2281	0
533	1176	1953	2745	0
10	1175	1679	0	0
0	1710	2114	2669	0
848	1481	1811	2398	0
571	1309	0	2358	0
0	1129	1910	2732	0
1547	1879	0	0	0
480	1119	2012	2619	0
0	1759	2008	2358	0
0	1224	1693	2321	0
441	1382	2135	2415	0
1023	1289	0	2430	0
649	1365	564	2405	0
0	1700	1577	2143	0
0	1655	1702	2462	0
0	1525	1895	0	0
590	1160	1739	2487	0
1071	1254	1463	2257	0
0	1390	1735	2326	0
1218	1817	2058	2501	0
597	1210	1567	2356	0
1976	1329	2907	1961	0
0	1305	1816	1661	0
1209	1790	1549	2631	0
499	1017	1715	2216	0
1033	1055	1972	2435	0
796	1403	1703	0	0
1209	1736	263	2606	0
847	1410	2089	2165	0
485	1137	0	2488	0
504	1416	243	2539	0
971	1630	2656	2357	0
562	1268	410	2223	0
0	1268	1399	2531	0
1193	1427	2027	2477	0
33	1412	1544	2416	0
409	1083	1571	1288	0
1804	1383	2690	2498	0
0	1116	2136	115	0
784	1390	525	0	0
2224	2013	2882	2448	0
2271	2629	1865	2397	0
324	1055	111	2459	0
923	1556	0	2271	0
356	1456	1676	2185	0
0	1155	1822	2555	0
0	1633	1957	2299	0
2701	2045	1950	2473	0
2177	1377	0	2141	0
1274	1154	2365	2265	0
562	1716	1720	0	0
614	1917	311	2145	0
542	1982	2115	2715	0
0	1404	1862	2362	0
1216	1254	1738	2317	0
2003	2164	973	54	0
857	1193	2314	2130	0
0	1277	0	1252	0
776	981	1698	2267	0
582	1204	0	2137	0
1135	1061	903	2488	0
2150	2241	3117	2796	0
0	1383	1766	2636	0
977	1293	2365	2556	0
0	1637	1938	2506	0
925	1603	2667	2560	0
830	1225	2330	0	0
543	1120	2435	2589	0
33	1422	1793	2435	0
798	1194	1740	2371	0
872	1019	1867	2060	0
1165	1230	764	2571	0
725	1278	595	2613	0
442	1203	1576	1829	0
954	1053	1999	2337	0
1720	1817	2967	2483	0
1184	1837	1500	2464	0
1903	1308	1857	2417	0
440	1272	1624	0	0
2205	1032	2831	2560	0
1906	2023	1842	2672	0
312	1518	1916	2496	0
463	1237	1812	2110	0
0	1921	1860	2379	0
1624	1499	2108	2648	0
67	1021	1715	2161	0
970	1133	0	2293	0
895	1718	1687	2637	0
0	1137	0	2192	0
186	1031	1740	2521	0
306	1171	1809	2347	0
769	1480	1867	2179	0
0	1244	0	1435	0
1163	1241	910	2166	0
417	1666	1732	2530	0
491	1815	1889	0	0
0	1106	1934	0	0
0	1216	0	2283	0
0	1414	1305	0	0
416	1309	1712	2390	0
0	1041	1877	2668	0
778	1516	1784	2291	0
483	1642	1811	2404	0
1005	1593	1884	2421	0
0	1070	1602	2465	0
1031	1177	1928	2645	0
0	1658	0	2435	0
847	1383	863	2347	0
953	1587	1729	2421	0
0	1101	1843	2477	0
0	1264	1705	2321	0
422	1252	1766	2431	0
32	1204	0	2353	0
404	1493	2072	2184	0
0	1581	0	0	0
0	1378	2038	2437	0
0	1440	1779	0	0
968	1453	1796	2493	0
335	1464	1659	2449	0
800	1300	0	180	0
219	1587	1876	2211	0
479	1884	2126	2049	0
759	1331	2033	1779	0
610	1750	0	2389	0
294	1323	1914	2488	0
650	1032	1927	2345	0
147	1815	1490	2412	0
813	1467	1808	2372	0
416	956	0	2377	0
1993	2123	2462	2771	0
539	1208	1927	2625	0
1298	1491	0	2339	0
0	977	1842	2331	0
1251	1756	0	2415	0
0	1162	0	2029	0
1158	2238	0	2511	0
0	1256	1725	2549	0
0	1177	1868	2242	0
959	2188	1815	2217	0
0	1485	0	2295	0
0	1256	0	2437	0
591	1647	1513	2350	0
0	1079	1344	2533	0
1217	1558	1737	2702	0
1971	2075	1961	2299	0
180	1008	1847	0	0
1406	1474	2601	2473	0
0	1299	0	2227	0
672	1550	1758	2530	0
452	1210	1538	2445	0
812	1541	2508	1935	0
498	1621	1851	2408	0
0	1631	0	2119	0
491	1304	1721	2456	0
0	966	94	2512	0
883	1221	0	2605	0
1004	1551	1408	2317	0
0	1422	2001	2567	0
1288	1837	1586	2520	0
697	1254	1695	2380	0
440	1225	1459	2601	0
395	1751	167	2543	0
979	1197	1899	2547	0
595	1166	1790	2434	0
1058	1475	192	2311	0
714	994	1786	2208	0
292	1009	1687	2613	0
28	1764	1829	2361	0
206	1388	0	0	0
309	1452	0	0	0
0	1319	0	2161	0
926	1013	1820	2465	0
1835	2035	2225	1887	0
0	1476	0	2041	0
460	1580	0	2405	0
1107	1010	1811	0	0
423	1389	298	1881	0
235	1545	1763	2243	0
0	1297	1205	2395	0
0	1300	1744	2524	0
0	1261	1883	2472	0
737	1650	2489	2467	0
0	1169	1721	2269	0
0	1381	1844	2499	0
666	1141	1810	2216	0
1005	2051	1582	2453	0
0	1193	1604	2531	0
456	1152	1823	2020	0
1173	1033	1909	1933	0
656	1569	1845	2109	0
0	1392	1922	0	0
706	1387	1995	2587	0
283	1297	1751	1980	0
453	949	1999	2490	0
1884	1384	3040	2087	0
735	967	0	2266	0
0	1106	1234	2282	0
631	1328	1264	2319	0
1729	1987	2934	2553	0
539	1113	1985	2236	0
836	1441	825	2467	0
363	1370	0	2332	0
0	1013	0	2389	0
1271	1865	1957	2094	0
242	1556	1261	2447	0
0	1246	0	2559	0
1106	1410	0	1487	0
0	1005	1922	2370	0
0	1569	1911	2426	0
2569	2471	3122	2447	0
0	994	733	691	0
1317	1621	2800	1085	0
0	1121	1745	2351	0
801	1369	1643	2366	0
1661	1671	2300	2338	0
423	1524	1842	2371	0
1793	2082	1631	2180	0
2072	2196	2664	2408	0
362	1238	0	2746	0
1973	2057	2208	2725	0
0	1131	1892	2605	0
1104	1119	1671	2380	0
938	1315	1679	2525	0
0	1734	1544	2239	0
