Movie	id_cell	Frame	Intensity	Diameter	Division
1	0	1	20.584	41	0
1	0	2	20.102	46	0
1	0	3	18.766	61	0
1	0	4	18.834	62	0
1	0	5	22.465	30	1
1	0	6	20.88	38	0
1	0	7	20.227	42	0
1	0	8	19.492	49	0
1	0	9	18.756	57	0
1	0	10	18.215	65	0
1	0	11	21.798	31	1
1	0	12	20.926	36	0
1	0	13	20.212	40	0
1	0	14	19.5	48	0
1	0	15	19.18	55	0
1	0	16	18.562	65	0
1	0	17	21.666	34	1
1	0	18	22.505	38	0
1	0	19	24.856	42	0
1	0	20	27.249	49	0
1	0	21	27.746	55	0
1	0	22	27.875	67	0
1	0	23	28.607	34	1
1	0	24	27.162	39	0
1	0	25	25.334	46	0
1	0	26	24.415	53	0
1	0	27	22.648	62	0
1	0	28	25.076	31	1
1	0	29	23.608	38	0
1	0	30	22.407	44	0
1	0	31	21.602	51	0
1	0	32	20.479	57	0
1	0	33	25.358	24	1
1	0	34	22.568	33	0
1	0	35	21.559	38	0
1	0	36	20.691	46	0
1	0	37	19.281	60	0
1	0	38	20.324	59	0
1	0	39	22.222	67	0
1	0	40	26.012	77	0
1	0	41	31.313	43	1
1	0	42	32.493	69	0
1	0	43	33.313	62	0
1	0	44	32.516	70	0
1	0	45	31.098	80	0
1	0	46	30.273	93	0
1	0	47	31.878	67	0
1	0	48	32.084	61	0
1	0	49	35.62	72	0
1	0	50	39.749	45	1
1	0	51	41.854	47	0
1	0	52	41.622	51	0
1	0	53	38.525	60	0
1	0	54	41.903	33	1
1	0	55	38.554	39	0
1	0	56	40.168	37	0
1	0	57	39.006	42	0
1	0	58	37.763	47	0
1	0	59	38.044	53	0
1	0	60	40.909	28	1
1	0	61	41.729	36	0
1	0	62	43.294	44	0
1	0	63	41.05	51	0
1	0	64	39.776	61	0
1	0	65	40.203	72	0
1	0	66	39.906	45	1
1	0	67	40.166	49	0
1	0	68	40.097	52	0
1	0	69	43.064	61	0
1	0	70	43.437	70	0
1	0	71	46.289	78	0
1	0	72	44.478	47	1
1	0	73	45.841	49	0
1	0	74	44.106	53	0
1	0	75	48.181	62	0
1	0	76	47.116	69	0
1	0	77	49.458	40	1
1	0	78	46.766	46	0
1	0	79	44.828	50	0
